,actor,critic,policy
0,-0.9359444379806519,0.3551032245159149,"{'operation': 1, 'magnitude': 2, 'probability': 0.7}"
1,-0.6178995370864868,0.1096571832895279,"{'operation': 5, 'magnitude': 4, 'probability': 0.1}"
2,-0.3755548298358917,0.016719521954655647,"{'operation': 4, 'magnitude': 0, 'probability': 0.8}"
3,-0.09754408150911331,0.003962419461458921,"{'operation': 3, 'magnitude': 2, 'probability': 0.1}"
4,0.06932292133569717,0.02437138929963112,"{'operation': 2, 'magnitude': 0, 'probability': 0.2}"
5,0.12142014503479004,0.02152392268180847,"{'operation': 2, 'magnitude': 0, 'probability': 0.5}"
6,0.12452945858240128,0.014186578802764416,"{'operation': 1, 'magnitude': 1, 'probability': 0.8}"
7,0.0782359167933464,0.0010948609560728073,"{'operation': 5, 'magnitude': 2, 'probability': 0.3}"
8,-0.004429718479514122,0.0024298743810504675,"{'operation': 3, 'magnitude': 1, 'probability': 0.7}"
9,-0.06767928600311279,0.005789140705019236,"{'operation': 2, 'magnitude': 4, 'probability': 0.9}"
10,-0.13204680383205414,0.010321613401174545,"{'operation': 2, 'magnitude': 1, 'probability': 0.7}"
11,-0.11462824791669846,0.0037431595847010612,"{'operation': 1, 'magnitude': 3, 'probability': 0.5}"
12,-0.04875912889838219,1.96296186913969e-05,"{'operation': 5, 'magnitude': 4, 'probability': 0.2}"
13,-0.0003663072129711509,0.0009279314544983208,"{'operation': 4, 'magnitude': 3, 'probability': 0.0}"
14,0.05438737943768501,0.004763295873999596,"{'operation': 0, 'magnitude': 4, 'probability': 0.2}"
15,0.04222745820879936,0.0012729302980005741,"{'operation': 3, 'magnitude': 1, 'probability': 0.3}"
16,0.026484012603759766,0.00015328811423387378,"{'operation': 1, 'magnitude': 1, 'probability': 0.8}"
17,0.008675302378833294,0.00010776233830256388,"{'operation': 3, 'magnitude': 0, 'probability': 0.5}"
18,-0.025087453424930573,0.00046496783033944666,"{'operation': 2, 'magnitude': 3, 'probability': 0.2}"
19,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.7}"
20,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.2}"
21,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.5}"
22,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.7}"
23,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.8}"
24,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.7}"
25,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.3}"
26,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.2}"
27,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.4}"
28,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.6}"
